游戏名称,评分,类别,语言,热度,最后更新时间,游戏版本,资费,开发商,支持系统,评论数,喜欢数
现代战争Online(含数据包),6.2 ,射击游戏,"英文, 中文",32℃,2016-09-08,1.141,完全免费,Game development ltd,4.0以上,1434,1052
绝对镇压,5.2 ,动作游戏,英文,32℃,2016-08-22,1.4,完全免费,Noodlecake,2.3以上,1134,359
蠢蠢的腊肠,5.2 ,益智休闲,英文,32℃,2016-08-22,1.0.6,完全免费,Nitrome,2.3以上,1109,134
多克罗汉化版,6.8 ,动作游戏,中文,32℃,2014-01-10,1.0.2,完全免费,GungHo Games,2.2以上,1307,2247
愤怒的小鸟:决斗,5.4 ,益智休闲,英文,32℃,2016-07-22,2.4.7,完全免费,Rovio,4.0以上,1503,228
棱镜,6.2 ,益智休闲,英文,32℃,2016-07-16,1,完全免费,Clint Siu,4.4以上,362,1197
极速变色龙,7.4 ,动作游戏,英文,32℃,2016-06-08,2,完全免费,Noodlecake,4.1以上,675,1257
跳跃果冻,5.2 ,益智休闲,英文,32℃,2016-04-11,1.4,完全免费,Ketchapp,3.0以上,243,238
真人斗地主2,,棋牌游戏,中文,32℃,2016-04-07,3.5.43,道具收费,深圳市金环天朗信息技术服务有限公司,2.3以上,79,27
共和国完整免谷歌版(含数据包),8.4 ,冒险解谜,英文,32℃,2016-03-23,5.0 for generic devices,完全免费,"Camouflaj, LLC",4.0以上,5986,2169
GBA模拟器,,游戏工具,英文,32℃,2015-11-02,1.5.26,完全免费,Robert Broglia,2.3以上,81,47
使命之剑修改版,7.6 ,动作游戏,英文,32℃,2014-12-01,1.6,完全免费,"Click Connect Co., Ltd.",2.3以上,767,207
噩梦乐园汉化版,6.1 ,冒险解谜,中文,32℃,2015-08-13,2.0.2,完全免费,D3 PUBLISHER INC.,4.0.3以上,1789,1347
玩具熊的五夜后宫4,6.0 ,冒险解谜,英文,32℃,2015-08-04,1,完全免费,Scottgames,2.3以上,3064,947
血之荣耀:神兵(含数据包),6.8 ,角色扮演,中文,32℃,2015-06-12,2.0.0,完全免费,Glu,3.0以上,938,778
波克艾克大冒险汉化版(含数据包),6.0 ,冒险解谜,中文,32℃,2015-04-30,1.4.0,完全免费,POSSIBLE Games,2.3以上,2371,2708
在一起,5.0 ,冒险解谜,中文,32℃,2015-04-30,1.3,完全免费,Naquatic LLC,2.3以上,472,227
二重奏完整版,6.1 ,益智休闲,中文,32℃,2015-02-19,2.0.0,完全免费,Kumobius,2.2以上,294,413
天鹅之歌(含数据包),8.0 ,动作游戏,英文,32℃,2015-02-19,1.0.3,完全免费,NUDE MAKER,2.3.3以上,1025,2005
回力斩杀,5.0 ,益智休闲,英文,32℃,2015-02-11,1,完全免费,CrazyGames.com,2.3以上,480,187
蒙特祖玛的宝藏2,5.1 ,益智休闲,英文,32℃,2015-01-19,1.5.52,完全免费,HeroCraft Ltd,1.6以上,193,31
砖形枪,8.4 ,冒险解谜,英文,32℃,2015-01-15,0.7,完全免费,Nitrome,2.2以上,3316,672
超级炸药捕鱼,,益智休闲,中文,32℃,2014-11-27,1.2.2,完全免费,HandyGames,2.3以上,379,80
变形方块,,益智休闲,英文,32℃,2014-08-19,1,完全免费,Pavlo Markevych,2.3以上,232,180
卡巴之旅,5.1 ,冒险解谜,英文,32℃,2014-07-23,1.2,完全免费,,2.3以上,329,307
FPsePS模拟器,,游戏工具,英文,32℃,2014-06-03,0.11.135,完全免费,Schtruck & LDchen,2.1以上,302,35
RPS跑酷,6.2 ,益智休闲,英文,32℃,2014-02-11,1.2,完全免费,hamon,2.3以上,652,23
NOS汽车挑战赛(含数据包),,竞速游戏,英文,32℃,2013-12-06,1.22,完全免费,Xlab Technologies Lt,1.6以上,174,16
疯狂沙滩车(含数据包),,竞速游戏,英文,32℃,2013-12-06,1.22,完全免费,Xlab Technologies Lt,1.6以上,154,21
战争使者(含数据包),5.5 ,角色扮演,中文,32℃,2013-07-31,1.1.5,完全免费,Cedar Hill Games Inc.,2.1以上,381,117
拯救我的电视,,益智休闲,英文,32℃,2013-06-13,1.05,完全免费,Behold Studios,2.0.1以上,59,24
杰克梦游奇境,,射击游戏,英文,32℃,2013-06-10,17611,完全免费,SilverTree Media,2.2以上,207,38
姜饼人大逃亡,,益智休闲,"英文, 韩文",32℃,2013-05-29,1.0.5,完全免费,Com2uS,2.2以上,317,41
惊恐走私犯(含数据包),7.6 ,益智休闲,中文,32℃,2013-02-27,1.07,完全免费,11 bit studios,2.2以上,767,76
城堡勇士,5.1 ,策略塔防,英文,32℃,2012-11-13,1.3,完全免费,GameResort,2.0.1以上,153,44
军队塔防完整版,,策略塔防,英文,32℃,2012-07-11,1.0.3,完全免费,Titan Inc,2.1以上,105,21
坠落的星星,,益智休闲,英文,32℃,2012-03-21,1.0.7,完全免费,Happy Angel Games,2.2以上,93,3
实景射击,7.0 ,射击游戏,英文,32℃,2012-03-13,2.25,完全免费,Black Ops Pops,1.5以上,566,18
海盗王中文版,,动作游戏,中文,32℃,2012-02-05,3.3,完全免费,"LeTang, Inc.",2.1以上,520,12
足球物语汉化版,7.9 ,模拟经营,中文,32℃,2012-01-10,1.0.7,完全免费,Kairosoft,1.6以上,734,102
声控游戏Pah,,飞行游戏,英文,32℃,2011-12-07,2,完全免费,Labgoo,2.1以上,80,25
飞镖忍者去广告版,,益智休闲,英文,32℃,2011-05-05,1.001,完全免费,iELFGame,1.5以上,139,2
清明节的鬼很萌,6.6 ,角色扮演,中文,31℃,2016-09-26,20150513,完全免费,橘子班工作室,2.3.3以上,225,440
亡者归来,,策略塔防,中文,31℃,2015-11-10,2.04,道具收费,杭州非奇科技有限公司,2.2以上,59,93
泽诺尼亚传奇S,5.4 ,角色扮演,"英文, 中文",31℃,2016-09-22,2.10.0,完全免费,GAMEVIL,2.3以上,3031,1514
JJ斗地主,5.4 ,棋牌游戏,中文,31℃,2016-09-18,4.05.07,道具收费,竞技世界（北京）网络技术有限公司,2.2以上,54,20
城堡冲突(含数据包),6.8 ,策略塔防,英文,31℃,2016-09-13,1.2.97,完全免费,IGG,2.3以上,2588,110
魔法世界,7.7 ,角色扮演,"英文, 韩文",31℃,2016-09-08,2.2.2,完全免费,Com2uS,2.3.3以上,1030,185
暴力兄弟会(含数据包),7.8 ,格斗游戏,英文,31℃,2016-09-01,2.3.12,完全免费,realtech VR,4.0.3以上,880,238
杀手47:行动(含数据包),8.2 ,策略塔防,英文,31℃,2016-08-23,1.12.69685,完全免费,SQEX,2.3.3以上,3978,1840
SAS:僵尸突击3,5.0 ,射击游戏,英文,31℃,2016-08-20,3.1,完全免费,ninja kiwi,4.0以上,251,152
口袋传奇,4.8 ,角色扮演,英文,31℃,2016-07-30,2.0.2.3,完全免费,Spacetime,2.2以上,30,59
笨拙的忍者汉化版(含数据包),8.0 ,养成游戏,中文,31℃,2016-03-15,1.6.3,完全免费,NaturalMotionGames Ltd,2.3以上,4679,1170
生命线:冰天雪地汉化版,7.2 ,冒险解谜,中文,31℃,2016-05-29,1.0.6,完全免费,3 Minute Games,4.0.3以上,707,1498
魔塔,5.1 ,角色扮演,中文,31℃,2016-04-18,1.5.7,道具收费,北京艾达沃科技有限公司,2.2以上,265,187
死亡同步:明日到今日汉化版(含数据包),7.2 ,冒险解谜,中文,31℃,2016-04-16,2,完全免费,Fictiorama Studios,2.3以上,2923,3503
城市飞奔:伦敦(含数据包),5.9 ,角色扮演,"英文, 中文",31℃,2016-04-01,2.12.46,完全免费,City Quests Media Ltd,2.3以上,883,2196
虫虫英雄2(含数据包),8.3 ,策略塔防,英文,31℃,2016-03-18,1.00.10.1,完全免费,Foursaken Media,2.3以上,3839,1258
伯特伦费德历险记(含数据包),7.7 ,冒险解谜,"英文, 中文",31℃,2015-12-15,1.3,完全免费,Rumpus Animation,2.3以上,2733,1989
雷电2014致命空袭,,飞行游戏,中文,31℃,2015-08-25,4.0.0,道具收费,北京奇虎科技有限公司,2.2以上,225,189
疯狂奔奔,,动作游戏,英文,31℃,2015-10-26,1.7.16,完全免费,Fluik,2.3以上,174,30
帕特森的发明豪华完整版,6.2 ,益智休闲,"英文, 中文",31℃,2015-10-20,3.0.1,完全免费,Filimundus AB,2.3以上,2737,1048
极品狂飙3D,4.9 ,竞速游戏,中文,31℃,2015-09-16,1.2.15,道具收费,杭州玩魔科技有限公司,2.2以上,358,94
三国志战记(含数据包),5.8 ,策略塔防,日文,31℃,2015-09-14,1.04,完全免费,KOEI TECMO,2.3.3以上,617,704
击倒铝罐3(含数据包),8.3 ,益智休闲,中文,31℃,2015-08-27,1.31,完全免费,Infinite Dream Factory Inc.,4.0以上,5298,481
特技摩托:前线,5.3 ,竞速游戏,中文,31℃,2015-07-24,3.1.0,道具收费,Ubisoft育碧,2.3.3以上,264,269
逃生挑战4完整版(含数据包),5.1 ,冒险解谜,"英文, 中文",31℃,2015-07-17,1,完全免费,MobiGrow,2.3.3以上,1684,340
阿尔法中队2:遗落战境(含数据包),5.9 ,飞行游戏,中文,31℃,2015-07-16,1.03,完全免费,Martian Monkey Games,2.3以上,1941,1194
铁路迷宫,,益智休闲,英文,31℃,2015-07-06,1.2.3,完全免费,Spooky House Studios,2.3以上,45,38
奇幻射击,7.9 ,射击游戏,中文,31℃,2015-05-13,1,道具收费,北京第九星光文化传媒有限公司,2.3以上,1293,303
暗黑斩,,动作游戏,英文,31℃,2014-12-29,1.032,完全免费,veewo studio,3.0以上,150,161
尘埃:越野赛车,,竞速游戏,英文,31℃,2014-11-24,1.4.5,完全免费,Catmoon Productions,3.2以上,79,37
新纪元2(含数据包),8.1 ,射击游戏,中文,31℃,2014-09-28,1.3.3,完全免费,Uppercut Games,4.1以上,3694,918
奥巴马VS普京修改版,7.8 ,动作游戏,中文,31℃,2014-06-05,01.01.02,完全免费,voolean,2.2以上,968,254
踹飞大胡子,7.9 ,益智休闲,"英文, 中文, 韩文, 日文",31℃,2014-05-12,1.3.817,完全免费,Phase Two Games,4.0.3以上,627,64
劫匪枪战,5.1 ,射击游戏,英文,31℃,2014-04-18,1.1.7,完全免费,N3V Games,2.2以上,499,77
100个任务汉化去广告版,5.3 ,益智休闲,中文,31℃,2012-09-13,1.2.7,完全免费,MPI Games,2.2以上,591,70
照片说话,,益智休闲,英文,31℃,2013-10-01,2.0.7,完全免费,"MotionPortrait, Inc",1.6以上,134,43
密室逃脱,5.1 ,益智休闲,英文,31℃,2013-08-26,5.0.0,完全免费,989Works,2.2以上,291,6
索尼克CD(含数据包),5.3 ,冒险解谜,英文,31℃,2012-11-15,1.0.6,完全免费,SEGA世嘉,2.1以上,173,86
2012伦敦奥运会(含数据包),7.4 ,体育运动,中文,31℃,2012-10-31,1.6.5,完全免费,Neowiz,2.2以上,840,106
中国象棋,,棋牌游戏,中文,31℃,2012-10-12,1.0.7,完全免费,Chessquare,1.5以上,52,2
水晶猎人,,角色扮演,"英文, 韩文",31℃,2012-06-18,1.0.1,完全免费,Com2uS,2.2以上,146,117
太平洋飞虎队完整版,,飞行游戏,英文,31℃,2012-05-23,1.21,完全免费,Kalloc Studios,2.1以上,57,18
王者传奇3,,角色扮演,英文,31℃,2012-05-03,1.0.2,完全免费,GAMEVIL,2.1以上,115,60
CS半条命反恐精英,5.0 ,射击游戏,英文,31℃,2012-04-26,1.19,完全免费,Calford,1.5以上,244,29
武装突袭2,,射击游戏,英文,31℃,2012-04-25,1.3.8.2,完全免费,Idea Games,2.2以上,136,63
我的世界完整专业版,8.3 ,策略塔防,英文,31℃,2012-03-28,3.1,完全免费,PX | Studios,2.1以上,4188,91
坦克大战中文版,5.0 ,射击游戏,中文,31℃,2012-03-08,1,完全免费,Noumena Innovations,1.6以上,104,79
怪盗鲁邦汉化版,7.0 ,角色扮演,中文,31℃,2011-11-25,1.0.1,完全免费,,2.1以上,796,311
3D台球大师,,体育运动,英文,31℃,2011-12-13,1.63,完全免费,Noumena Innovations,1.6以上,47,28
美国僵尸村,5.1 ,动作游戏,英文,31℃,2011-07-21,1.0.4,完全免费,Mika Mobile,2.0.1以上,201,40
战争的召唤:战争使命修改版,5.0 ,飞行游戏,英文,30℃,2016-09-29,1.1.4,完全免费,BOG,2.3以上,258,296
史上最坑爹的游戏2,5.0 ,益智休闲,中文,30℃,2016-09-23,5.0.06,道具收费,珠海顶峰互动科技有限公司,2.3以上,243,96
会说话的约恩狗,,益智休闲,英文,30℃,2016-09-21,5.17.0,完全免费,Kaufcom Games Apps Widgets,2.3以上,43,21
玩具熊的五夜后宫,5.8 ,动作游戏,英文,30℃,2016-09-19,1.84,完全免费,Scottgames,2.3以上,509,458
秘密盟会(含数据包),7.4 ,冒险解谜,"英文, 中文",30℃,2016-09-18,1.21.1,完全免费,G5,4.0.3以上,546,608
玩具塔防2修改版(含数据包),7.3 ,策略塔防,中文,30℃,2015-11-12,2.5,完全免费,Melesta Games,3.0以上,1465,314
我的马(含数据包),7.0 ,养成游戏,中文,30℃,2016-09-12,1.26.1,完全免费,NaturalMotionGames Ltd,2.3.3以上,1310,313
旋转风暴(含数据包),6.1 ,竞速游戏,"英文, 中文",30℃,2016-09-08,1.8.57,完全免费,League of Monkeys,4.0.3以上,2366,488
马上斗地主,4.8 ,棋牌游戏,中文,30℃,2016-09-06,2.7.4.0,道具收费,北京联众互动网络股份有限公司,2.2以上,77,49
破碎大陆(含数据包),7.8 ,动作游戏,"英文, 中文",30℃,2016-09-05,3.2.0.23,完全免费,Frogmind,4.0.3以上,1760,2523
遗迹探索(含数据包),8.1 ,冒险解谜,英文,30℃,2016-09-01,0.14.85,完全免费,NEXON,4.0.3以上,4572,2934
卡通防御战4修改版(含数据包),7.5 ,策略塔防,英文,30℃,2014-05-26,1.0.9,完全免费,MolaMola Inc.,2.3.3以上,849,269
天方夜谭,8.0 ,益智休闲,英文,30℃,2016-08-22,1.2.1,完全免费,Acceleroto,4.0以上,705,562
杀手:狙击之神(含数据包),7.8 ,射击游戏,中文,30℃,2016-08-19,5.0.2,完全免费,Glu,3.0以上,994,551
音速小子索尼克4:第一章(含数据包),5.3 ,益智休闲,英文,30℃,2016-08-19,1.5.0,完全免费,SEGA世嘉,2.2以上,238,38
潜龙破山修改版,5.7 ,益智休闲,中文,30℃,2016-04-28,1.2.3,完全免费,Rebel Twins,2.3以上,1049,651
滑板派对3修改版(含数据包),5.6 ,体育运动,"英文, 中文",30℃,2016-08-08,1.0.3,完全免费,Ratrod,4.0以上,677,833
飞爆钻石,8.0 ,益智休闲,英文,30℃,2016-07-28,5.2 (52013),完全免费,Wooga,3.0以上,672,30
超级水管工,5.0 ,益智休闲,英文,30℃,2016-07-21,2.7.1,完全免费,NER Brothers,3.0以上,61,30
史克比亚,,动作游戏,中文,30℃,2016-06-07,2.5,完全免费,Alawar,2.3以上,335,58
恶魔世界修改版(含数据包),5.4 ,策略塔防,"英文, 中文",30℃,2016-06-01,1.2.1,完全免费,HandyGames,4.0.3以上,1954,694
织梦寻空,6.9 ,益智休闲,英文,30℃,2016-05-24,1.03,完全免费,Hamster On Coke Games,4.0以上,716,1439
最强大脑2,4.7 ,益智休闲,中文,30℃,2016-05-18,1.21,道具收费,南京光辉互动网络科技股份有限公司,2.3以上,186,77
航空大亨3(含数据包),,模拟经营,"英文, 中文, 日文",30℃,2016-05-07,1.3.0,完全免费,TRADEGAME Lab Inc.,2.3.3以上,432,218
战斗猴子,5.0 ,策略塔防,英文,30℃,2016-04-20,1.4.2,完全免费,Geek Beach Ltd,2.3以上,185,60
失落的地球,,策略塔防,"中文, 韩文",30℃,2016-04-20,1.3.8,完全免费,Com2uS,2.2以上,209,74
狂飙:快艇天堂修改版(含数据包),6.2 ,竞速游戏,"英文, 中文",30℃,2016-01-22,1.6.0,完全免费,Ubisoft育碧,4.0以上,3237,1187
唐老鸭历险记:高清重制版(含数据包),5.6 ,动作游戏,中文,30℃,2016-03-09,1.0.3,完全免费,Disney,5.0以上,2252,1093
卡通战争-枪手,,策略塔防,"英文, 韩文",30℃,2016-02-18,1.1.1,完全免费,GAMEVIL,2.3以上,252,105
真三国无双:爆发,7.4 ,动作游戏,日文,30℃,2016-02-17,1.3.3,完全免费,KOEI TECMO,4.0以上,776,297
死亡效应2(含数据包),7.2 ,射击游戏,英文,30℃,2015-12-17,151215.0254,完全免费,BadFly Interactive,4.1以上,5529,2946
机器帝国,6.6 ,策略塔防,英文,30℃,2015-12-03,2.8.6,完全免费,Hexage,2.3以上,873,108
天兵公园:恶作剧大战(含数据包),7.9 ,动作游戏,中文,30℃,2015-11-18,1.0.6,完全免费,Cartoon Network,2.3.3以上,850,543
细胞星球高清完整版,,策略塔防,英文,30℃,2015-11-06,1.51,完全免费,Tubi Games,2.3以上,56,36
星球大战:旧共和国武士免验证版(含数据包),8.6 ,角色扮演,英文,30℃,2015-10-21,1.0.6,完全免费,"Aspyr Media, Inc.",4.1以上,4161,2136
指尖篮球2修改版(含数据包),5.1 ,体育运动,"英文, 中文",30℃,2015-09-30,1.1.7,完全免费,U-Play online,2.3.3以上,1784,289
孤岛余生(含数据包),5.9 ,模拟经营,中文,30℃,2015-09-15,1.3,完全免费,G5,2.3.3以上,292,263
丛林大冒险,,模拟经营,英文,30℃,2015-08-21,2.6.9,完全免费,"Kiwi, Inc.",2.2以上,69,61
虚拟城市2:天堂度假村完整版(含数据包),5.8 ,模拟经营,中文,30℃,2013-12-06,1.1,完全免费,G5,2.1以上,211,264
新恶魔猎人,4.9 ,动作游戏,中文,30℃,2015-06-08,2.2.4,道具收费,合肥华乐互动信息技术有限公司,2.2以上,538,167
微观战争2完整版,,益智休闲,英文,30℃,2014-12-22,1.00.1,完全免费,Donut Games,2.3.3以上,130,314
反击间谍汉化版(含数据包),6.6 ,动作游戏,中文,30℃,2015-01-05,1.0.110,完全免费,PlayStation Mobile Inc.,4.0.3以上,2108,1685
铁拳拳击(含数据包),,格斗游戏,英文,30℃,2014-12-01,5.0.1,完全免费,realtech VR,2.3以上,342,67
单车男孩,,益智休闲,英文,30℃,2014-11-28,1.7,完全免费,Runner Games,2.3以上,63,28
僵尸城防御汉化破解版,7.6 ,策略塔防,中文,30℃,2014-09-22,1.1.2,完全免费,Mozg Labs,4.0以上,944,708
最强塔防(含数据包),7.9 ,策略塔防,英文,30℃,2014-09-08,1.27,完全免费,SMG Studio,2.3以上,934,182
明日边缘(含数据包),7.1 ,动作游戏,中文,30℃,2014-06-06,1.0.3,完全免费,WBIE,4.0以上,1698,817
世界防御,5.0 ,策略塔防,英文,30℃,2014-05-05,1.2.2,完全免费,FridgeCat Software,2.3以上,68,57
星际快车(含数据包),7.8 ,竞速游戏,英文,30℃,2013-12-05,1.4,完全免费,Jujubee S.A.,2.0.1以上,749,43
后院弓箭手,,益智休闲,英文,30℃,2013-12-30,1.06,完全免费,RedWall Games,2.3.3以上,34,1
疯狂引擎专业版(含数据包),7.8 ,竞速游戏,英文,30℃,2013-10-21,1.5.0,完全免费,Level Eight AB,2.2以上,720,35
泊车大挑战,,益智休闲,英文,30℃,2013-07-08,2.5,完全免费,Dualcarbon,4.1以上,51,1
仙境传说紫罗兰,7.5 ,角色扮演,中文,30℃,2012-11-28,1,完全免费,,2.1以上,800,135
碧湖垂钓完整版,,益智休闲,英文,30℃,2012-11-12,2.2,完全免费,CyxB,1.5以上,233,54
吃货大食堂汉化版,5.7 ,模拟经营,中文,30℃,2012-04-28,1.0.0,完全免费,Kairosoft,1.6以上,297,167
口袋学院2汉化版,5.5 ,模拟经营,中文,30℃,2012-04-27,1.0.3,完全免费,Kairosoft,1.6以上,236,176
钢铁冲击手,5.1 ,动作游戏,英文,30℃,2012-01-09,1.23,完全免费,iELFGame,2.2以上,141,57
模拟城市破解豪华版(含数据包),4.7 ,模拟经营,中文,30℃,2011-11-09,0.0.13,完全免费,EA,1.6以上,368,288
钻石旋风2,,益智休闲,中文,30℃,2011-10-10,1.0.7,完全免费,Gameloft,1.5以上,81,32
韩式连连看,5.0 ,益智休闲,韩文,30℃,2011-09-10,1.2,完全免费,AndromedaGames,2.1以上,63,27
怪物大战野猪男,,益智休闲,英文,30℃,2011-08-24,2.1.3,完全免费,,1.5以上,138,8
TNA拳击大赛,5.1 ,格斗游戏,英文,30℃,2011-05-21,1.0.1,完全免费,南梦宫NAMCO,2.0.1以上,309,77
斩魔历险记,4.9 ,角色扮演,中文,30℃,2011-05-10,1,完全免费,多乐科技,1.5以上,268,114
FIFA2010足球盛宴(含数据包),5.0 ,体育运动,英文,30℃,2010-09-20,1.0.41,完全免费,EA,2.0以上,290,107
FC经典坦克大战1.0,,射击游戏,中文,30℃,2010-08-05,1,完全免费,,1.5以上,32,4
火柴人部落,5.0 ,格斗游戏,中文,29℃,2016-09-14,1.1.4,道具收费,上海岩火网络科技有限公司,4.0以上,272,175
钓大鱼,,益智休闲,英文,29℃,2016-08-31,2.7.3,完全免费,pascal inc.,4.0.3以上,84,34
狙击世界,4.7 ,射击游戏,中文,29℃,2016-08-24,14.7.24,完全免费,coder1cv8,2.3以上,136,81
入侵农场USA,,射击游戏,中文,29℃,2016-08-22,1.3.7,完全免费,HandyGames,2.3.3以上,151,58
三连棋,5.0 ,棋牌游戏,英文,29℃,2016-05-30,8.0.60,完全免费,Wintrino mobile prime,2.3以上,67,42
Evo探险,6.3 ,冒险解谜,中文,29℃,2016-04-29,1.3.4.0,完全免费,,4.0以上,392,736
女巫格尼玛汉化版,7.7 ,冒险解谜,中文,29℃,2014-12-08,1.1,完全免费,Microsheep,2.2以上,2915,1169
整容照相机,,益智休闲,英文,29℃,2016-03-08,2.1.9,完全免费,Oren Bengigi,2.3以上,40,26
熊猫快跑,,益智休闲,英文,29℃,2016-02-22,1.2.8,完全免费,Sailfish Games,2.3以上,64,26
火柴拼图,,益智休闲,英文,29℃,2016-01-26,1.7.10,完全免费,Celtic Spear,2.3以上,44,24
保卫鬼屋:恐怖城镇,6.0 ,益智休闲,英文,29℃,2015-12-02,1.4.6,完全免费,SFB Games,2.3以上,2088,992
卡车模拟器2016专业版(含数据包),5.8 ,模拟经营,英文,29℃,2015-10-19,1.6,完全免费,Mageeks Apps & Games,2.3以上,2385,610
三国杀online,5.4 ,棋牌游戏,中文,29℃,2015-08-28,2.8.8,道具收费,炫彩互动,1.6以上,247,190
果冻乐队,,音乐游戏,英文,29℃,2015-08-26,2.12,完全免费,iDreams,2.3以上,165,98
探险活宝:游戏巫师(含数据包),5.1 ,动作游戏,"英文, 中文",29℃,2015-07-19,1.2.0,完全免费,Cartoon Network,4.1以上,421,764
流光飞舞,5.3 ,益智休闲,英文,29℃,2015-05-23,1.0.1612,完全免费,Many Monkeys Development Pty Ltd,4.0.3以上,443,853
铁匠迷情2汉化修改版,5.6 ,益智休闲,中文,29℃,2015-04-23,1.12.1,完全免费,Tuesday Quest,2.3以上,1304,557
百战天虫3汉化版(含数据包),7.7 ,益智休闲,中文,29℃,2014-06-25,1.82,完全免费,Team 17,2.3以上,1768,985
血饮狂刀:任务(含数据包),7.8 ,动作游戏,英文,29℃,2015-03-06,1.0.0,完全免费,Mass Creation,3.0以上,1176,444
僵尸炮手(含数据包),8.1 ,射击游戏,英文,29℃,2015-02-11,1,完全免费,"BitMonster, Inc.",4.0以上,3551,907
闪电战机2,,飞行游戏,中文,29℃,2015-01-23,2.0.0,道具收费,触控科技,2.1以上,149,43
MAME安卓街机模拟器,,游戏工具,中文,29℃,2015-01-16,3.1.1,完全免费,,2.1以上,310,123
勇者斗恶龙5:天空的新娘汉化版(含数据包),8.1 ,角色扮演,中文,29℃,2014-12-29,1.0.1,完全免费,SQEX,2.3以上,3490,819
高山滑雪,5.0 ,体育运动,英文,29℃,2014-10-27,1.38.1,完全免费,Golden Hammer Software,2.3以上,100,24
初音未来:虚拟女友汉化版,5.3 ,音乐游戏,中文,29℃,2014-08-21,1.2,完全免费,MARZA ANIMATION PLANET INC.,2.3.3以上,986,809
神之折纸完整版,5.4 ,益智休闲,英文,29℃,2013-12-23,1.0.4,完全免费,State of Play Games,2.2以上,126,358
僵尸仙境2,,射击游戏,英文,29℃,2014-02-08,1.7,完全免费,Xoobis,2.1以上,154,79
兔子迷宫大冒险,,益智休闲,英文,29℃,2014-04-09,1.3.0,完全免费,Eyelead Software Inc.,2.2以上,90,23
斩铁剑,,动作游戏,英文,29℃,2014-02-27,1.1.1,完全免费,CatfishBlues Games,2.2以上,246,20
生命精灵,5.0 ,益智休闲,英文,29℃,2014-02-19,3.0.4,完全免费,Mikrotie Ltd,2.3.3以上,49,84
大脚怪:追踪阴影完整版(含数据包),7.7 ,冒险解谜,中文,29℃,2013-12-06,1,完全免费,G5,2.1以上,816,381
猎魔之塔,7.8 ,策略塔防,英文,29℃,2013-10-21,1.6.4,完全免费,Ember Entertainment,2.3以上,740,19
街头霸王4,8.3 ,格斗游戏,英文,29℃,2013-09-03,1.00.03,完全免费,Capcom,2.3以上,3892,30
战斗之石,7.8 ,动作游戏,英文,29℃,2013-08-05,1.1.290016,完全免费,Zynga,2.3以上,604,72
最后的战争,,角色扮演,"英文, 韩文",29℃,2013-05-15,1.9.2,完全免费,GAMEVIL,2.2以上,247,29
银河火战2三星商店版,8.0 ,射击游戏,英文,29℃,2013-05-13,1.0.1,完全免费,FISHLABS Entertainment GmbH,2.3以上,618,118
骷髅部队,,射击游戏,英文,29℃,2013-04-16,1.1.4,完全免费,Odi Games,2.3以上,86,17
现代冲突,5.5 ,策略塔防,中文,29℃,2013-02-20,1.2.1,完全免费,Gaijin Entertainment,2.1以上,121,115
不朽的黄昏,,角色扮演,"英文, 韩文",29℃,2013-02-18,1.0.2,完全免费,GAMEVIL,2.1以上,84,55
恶魔大作战金币修改版(含数据包),8.3 ,养成游戏,中文,29℃,2012-12-10,1.1.5,完全免费,Gameloft,2.2以上,4156,165
3D乒乓球完整版,,体育运动,英文,29℃,2012-10-21,2.7.3,完全免费,Clapfoot Inc.,2.1以上,22,6
拉厕纸,,益智休闲,英文,29℃,2012-08-20,1.7.2,完全免费,Reverie,1.6以上,44,4
太平洋飞虎队免费版,,飞行游戏,英文,29℃,2012-07-20,1.31,完全免费,Kalloc Studios,2.1以上,45,7
中国象棋-棋弈通,,棋牌游戏,中文,29℃,2012-04-02,2.2,完全免费,,1.5以上,48,5
QQ卡丁车(含数据包)免QQ游戏大厅版,,竞速游戏,中文,29℃,2012-02-21,1,完全免费,,1.5以上,236,25
宇宙探险队汉化版,5.1 ,模拟经营,中文,29℃,2011-11-23,1.0.0,完全免费,Kairosoft,1.6以上,154,112
阿拉巴马史密斯逃离庞培城普通版,,益智休闲,英文,29℃,2011-10-25,1.5,完全免费,Alawar,1.6以上,116,45
世界超级摩托车锦标赛16完整版(含数据包),5.6 ,竞速游戏,"英文, 中文",28℃,2016-09-30,1.0.7,完全免费,Digital Tales S.r.l.,4.0.3以上,155,321
模拟山羊MMO(含数据包),7.0 ,动作游戏,"英文, 中文",28℃,2016-09-27,1.2.5,完全免费,Coffee Stain Studios,4.0.3以上,2562,920
豹子王,,棋牌游戏,中文,28℃,2016-09-26,2.6.2,道具收费,深圳市融网汇智科技有限公司,2.2以上,84,65
不死之身(含数据包),8.0 ,射击游戏,"英文, 中文",28℃,2016-09-22,0.6.1,完全免费,Madfinger Games,4.1以上,5627,1077
公路骑手,7.9 ,竞速游戏,"英文, 中文",28℃,2016-09-18,1.2,完全免费,Andrey,2.3以上,2510,1149
克鲁赛德战记,6.2 ,益智休闲,"英文, 中文",28℃,2016-09-14,2.8.6.KG,完全免费,NHN Entertainment Corp.,3.0以上,683,539
MOBIUS最终幻想,9.1 ,角色扮演,日文,28℃,2016-09-08,1.4.051,完全免费,SQEX,2.3以上,5277,2422
古墓丽影1,8.3 ,动作游戏,英文,28℃,2016-09-07,1.0.42RC,完全免费,SQEX,4.0以上,4677,583
