游戏名称,评分,类别,语言,热度,最后更新时间,游戏版本,资费,开发商,支持系统,评论数,喜欢数
侠盗猎车手:自由城故事修改版(含数据包),7.0 ,角色扮演,英文,53℃,2016-07-22,2.2,完全免费,Rockstar Games,4.0以上,7100,2328
见缝插针,5.3 ,益智休闲,英文,53℃,2016-08-01,1.5.7,完全免费,General Adaptive Apps Pty Ltd,3.0以上,1496,426
搏击长空:风暴特工队(含数据包),7.9 ,飞行游戏,"英文, 中文",53℃,2016-04-01,1.0.5,完全免费,Atypical Games,4.1以上,4870,3539
生存战争,7.4 ,角色扮演,英文,53℃,2016-03-31,1.29.17.0,完全免费,Candy Rufus Games,2.3.3以上,4390,796
博德之门增强版(含数据包),5.9 ,角色扮演,"英文, 中文, 韩文, 日文",53℃,2014-05-10,1.3,完全免费,Beamdog,3.0以上,2369,1902
天天连萌,4.8 ,益智休闲,中文,53℃,2013-11-15,1.0.9.0,完全免费,腾讯,2.2以上,589,14
急速飙车,4.8 ,竞速游戏,英文,53℃,2013-07-25,1.2.6,完全免费,OoO studio,2.2以上,629,30
口袋公主直装汉化版,5.9 ,养成游戏,中文,53℃,2013-05-17,1.029,完全免费,"GameOn Co., Ltd.",2.1以上,1030,1038
模拟城市:建造,8.1 ,模拟经营,中文,52℃,2016-09-27,1.15.9.48109,完全免费,EA,2.3.3以上,5972,2884
英雄传说修改版,8.2 ,策略塔防,英文,52℃,2015-12-09,2.1.0,完全免费,Maya,2.3.3以上,7942,1236
幸运破解器,6.3 ,游戏工具,中文,52℃,2016-09-09,6.2.6,完全免费,,2.0以上,2187,982
僵尸尖叫,5.5 ,益智休闲,中文,52℃,2016-09-09,2.3.5,道具收费,掌游天下（北京）信息技术有限公司,2.3以上,760,178
音速小子索尼克4:第二章(含数据包),7.7 ,益智休闲,中文,52℃,2016-08-19,1.9,完全免费,SEGA世嘉,3.0以上,1434,833
死在百慕大汉化版(含数据包),6.8 ,冒险解谜,中文,52℃,2016-07-18,1.02,完全免费,Plug In Digital,4.4以上,722,2648
勇闯死人谷,7.7 ,动作游戏,英文,52℃,2016-07-28,2.3.2,完全免费,PIKPOK,4.1以上,2234,975
勇者斗恶龙8汉化版(含数据包),8.5 ,角色扮演,中文,52℃,2016-03-24,1.0.4,完全免费,SQEX,4.0以上,7226,2960
